item_type,title,creators,first_name,last_name,ean_isbn13,upc_isbn10,description,publisher,publish_date,group,tags,notes,price,length,number_of_discs,number_of_players,age_group,ensemble,aspect_ratio,esrb,rating,review,review_date,status,began,completed,added,copies
book,"Keynes Hayek: The Clash That Defined Modern Economics","Nicholas Wapshott",Nicholas,Wapshott,9780393343632,0393343634,"As the crash of 1929 plunged the world economy into turmoil, two men emerged with competing claims on how to restore balance. John Maynard Keynes, the mercurial Cambridge economist, believed that government had a duty to spend. He met his opposite in a little-known Austrian economics professor, Friedrich Hayek, who considered attempts to intervene pointless and potentially dangerous. From their first face-to-face encounter to the heated arguments between their ardent disciples, Nicholas Wapshott unearths the contemporary relevance of Keynes and Hayek, as present-day arguments over the virtues of the free market and government intervention rage with the same ferocity as they did in the 1930s.","W. W. Norton &amp; Company",2012-08-24,,"biography, economics",,,400,,,,,,,,,,,,,2016-08-12,1
book,"Flash Boys","Michael Lewis",Michael,Lewis,9780141981031,0141981032,,Penguin,2015-03-23,,"2008 crash, economics",,,320,,,,,,,,,,,,,2016-08-12,1
book,"Capitalism and Freedom: Fortieth Anniversary Edition","Milton Friedman",Milton,Friedman,9780226264219,0226264211,"It is a rare professor who greatly alters the thinking of his professional colleagues. It's an even rarer one who helps transform the world. Friedman has done both."" - Stephen Chapman, Chicago Tribune How can we benefit from the promise of government while avoiding the threat it poses to individual freedom? In his classic book, Capitalism and Freedom, Milton Friedman presents his view of the proper role of competitive capitalism - the organization of the bulk of economic activity through private enterprise operating in a free market - as both a device for achieving economic freedom and a necessary condition for political freedom. He also outlines the role that government should play in a society dedicated to freedom and relying primarily on the market to organize economic activity. Friedman begins with a discussion of the principles of a truly liberal society. He then applies those principles to a range of pressing problems, including monetary policy, discrimination, education, income distribution, welfare, and poverty. The result is a book that has sold well over half a million copies in English, has been translated into eighteen languages, and has become increasingly influential in recent years as more and more governments have moved from highly planned economies to embrace free market economics.","University of Chicago Press",2002-12-17,,economics,,,210,,,,,,,,,,,,,2016-08-12,1
book,"The Bottom Billion: Why the Poorest Countries are Failing and What Can Be Done About It","Paul Collier",Paul,Collier,9780195374636,0195374630,"The Bottom Billion is an elegant and impassioned synthesis from one of the world&#039;s leading experts on Africa and poverty. It was hailed as &#039;the best non-fiction book so far this year&#039; by Nicholas Kristoff of The New York Times.","OUP USA",2008-10-02,,"economics, good",,,224,,,,,,,,,,,,,2016-08-12,1
book,"Economics: The User's Guide: A Pelican Introduction","Ha-Joon Chang",Ha-Joon,Chang,9780718197032,0718197038,,Pelican,2014-05-01,,economics,,,528,,,,,,,,,,,,,2016-08-12,1
book,"Advanced Calculus (Dover Books on Mathematics)","David V. Widder",David,Widder,9780486661032,0486661032,,"Dover Publications Inc.",1990-07-01,,maths,,,544,,,,,,,,,,,,,2016-08-12,1
book,"Quantum Mechanics: The Theoretical Minimum","Leonard Susskind, George Hrabovsky",Leonard,Susskind,9780141977812,0141977817,,Penguin,2015-04-30,,"physics, science",,,384,,,,,,,,,,,,,2016-08-12,1
book,"Classical Mechanics: The Theoretical Minimum","Leonard Susskind, George Hrabovsky",Leonard,Susskind,9780141976228,0141976225,"This is the ultimate master class in modern physics. World-class physicist and father of string theory Leonard Susskind and citizen-scientist George Hrabovsky combine forces in a primer that teaches the skills you need to do physics yourself. Combining crystal-clear explanations of the laws of the universe with basic exercises (including essential equations and maths), the authors cover the minimum that readers should master. They introduce the key concepts of modern physics, from classical mechanics to general relativity to quantum theory, and provide a practical toolkit that you won't find in any other popular science book.",Penguin,2014-02-25,,"physics, science",,,256,,,,,,,,,,,,,2016-08-12,1
book,"The Language Instinct","Steven Pinker",Steven,Pinker,9780140175295,0140175296,"In this exhilarating book, Steven Pinker asserts that language should not be seen as a cultural artefact that we learn in the way we learn to tell the time, but as a distinct part of the biological make-up of our brains.","Penguin UK",1994-01-01,,"linguistics, science",,,494,,,,,,,,,,,,,2016-08-12,1
book,"The Simpsons and Their Mathematical Secrets","Simon Singh",Simon,Singh,9781408835302,1408835304,,"Bloomsbury Publishing",2013-10-10,,maths,,,272,,,,,,,,,,,,,2016-08-12,1
book,"Cosmos: The Story of Cosmic Evolution, Science and Civilisation","Carl Sagan",Carl,Sagan,9780349107035,0349107033,"The story of 15 billion years of cosmic evolution, transforming matter and life into consciousness, how science and civilization grew up together and the forces and individuals who helped shape modern science. The book aims to make scientific ideas accessible and exciting.",Abacus,1983-08-11,,"physics, science",,,416,,,,,,,,,,,,,2016-08-12,1
book,"A Brief History Of Time: From Big Bang To Black Holes","Stephen Hawking",Stephen,Hawking,9780857501004,0857501003,"Ships from Spain. Please allow 10-18 business days to arrive at UK address (10-21 worldwide) due to postal service checks and customs.",Bantam,2011-08-18,,"physics, science",,,256,,,,,,,,,,,,,2016-08-12,1
book,"Genius: Richard Feynman and Modern Physics","James Gleick",James,Gleick,9780349105321,0349105324,"For nearly 50 years, until his death in 1988, Richard Feynman&#039;s work lay at the heart of physics. Always controversial, Feynman was the key physicist from his days as part of the A-bomb-making team in the 1940s, until his discovery of the reason for the Challenger space shuttle disaster.",Abacus,1994-04-02,,"biography, physics",,,544,,,,,,,,,,,,,2016-08-12,1
book,"The Emperor's New Mind: Concerning Computers, Minds, and the Laws of Physics (Popular Science)","Sir Roger Penrose",Sir,Penrose,9780192861986,0192861980,"The Emperor&#039;s New Mind In his bestselling work of popular science, Sir Roger Penrose takes us on a fascinating roller-coaster ride through the basic principles of physics, cosmology, mathematics, and philosophy to show that human thinking can never be emulated by a machine. Full description","Oxford Paperbacks",1999-03-04,,"consciousness, mind, physics, science",,,640,,,,,,,,,,,,,2016-08-12,1
book,"Godel, Escher, Bach An Eternal Golden Braid by Hofstadter, Douglas R. ( Author ) ON Mar-30-2000, Paperback","Douglas R. Hofstadter",Douglas,Hofstadter,9780140289206,0140289208,,"Penguin Books Ltd",2000-03-30,,"consciousness, great, mind",,,,,,,,,,,"<p>One of the cleverest, most meandering, joyous reads of my life. Insights into computation and intelligence.</p>",2019-03-16,,,,2016-08-12,1
book,"Logicomix: An Epic Search for Truth","Apostolos Doxiadis, Christos H. Papadimitriou",Apostolos,Doxiadis,9780747597209,0747597200,"Logicomix This innovative, dramatic graphic novel recounts the spiritual odyssey of philosopher Bertrand Russell. In his agonized search for absolute truth, Russell crosses paths with legendary thinkers and finds a passionate student in the great Ludwig Wittgenstein. Full description","Bloomsbury Publishing PLC",2009-09-07,,"maths, philosophy, science",,,352,,,,,,,,,,,,,2016-08-12,1
book,"Guns, Germs and Steel: Short History of Everybody for Last 13,000 Years","Jared M. Diamond",Jared,Diamond,9780099302780,0099302780,,,,,"anthropology, biology",,,,,,,,,,,,,,,,2016-08-12,1
book,"Darwin's Dangerous Idea: Evolution and the Meanings of Life (Penguin Science)","Daniel C. Dennett",Daniel,Dennett,9780140167344,014016734X,"Darwin&#039;s Dangerous Idea Nominated for the 1995 National Book Award for Non-Fiction, this masterly exploration reaffirms the validity of Darwin&#039;s theory of natural selection and brilliantly demonstrates its compatibility with free will, sacred beliefs, and the dignity of humankind. Full description",Penguin,1996-09-26,,"biology, science",,,592,,,,,,,,,,,,,2016-08-12,1
book,"The Selfish Gene","Richard Dawkins",Richard,Dawkins,9780199291151,0199291152,,,,,"biology, science",,,,,,,,,,,,,,,,2016-08-12,1
